"date","Temp","RH","Tmin","Tmax","RHmin","RHmax","DP","AH","LIM","LM","LMfix","PI","EMC"
2024-01-01,21.405,36.548,20.2,21.8,33.5,41.4,5.934,6.846,75.215,1.11,1.236,47.876,7.172
2024-01-02,20.719,43.229,19.6,21.6,39.2,47.3,7.767,7.781,75.403,1.05,1.093,44.118,8.197
2024-01-03,21.857,40.927,21.5,22.5,34.2,48.7,7.989,7.869,75.101,1.069,1.002,40.405,7.822
2024-01-04,21.821,35.36,21.5,22.2,33.2,38.7,5.824,6.785,75.11,1.123,1.218,46.979,6.983
2024-01-05,21.871,37.036,21.7,22.1,35.3,38.2,6.54,7.127,75.098,1.106,1.139,44.574,7.236
2024-01-06,21.644,37.027,21.1,21.9,31.3,41.9,6.335,7.032,75.154,1.106,1.176,45.867,7.239
2024-01-07,21.781,43.985,21.5,22.1,37.9,50.8,8.985,8.42,75.12,1.044,0.922,37.954,8.288
2024-01-08,22.177,47.082,20.8,22.9,44,51,10.359,9.221,75.025,1.021,0.799,33.75,8.754
2024-01-09,22.406,46.857,22,22.9,40.5,52.1,10.496,9.299,74.973,1.022,0.779,32.958,8.713
2024-01-10,22.079,35.439,21.8,22.3,31.9,40.5,6.084,6.902,75.048,1.122,1.172,45.389,6.99
2024-01-11,21.407,40.315,20.2,21.9,32.5,47.3,7.364,7.553,75.215,1.075,1.087,43.392,7.74
2024-01-12,22.009,41.578,21.4,22.7,36.6,48.3,8.358,8.065,75.065,1.064,0.961,39.025,7.917
2024-01-13,21.589,40.935,20.5,22,36,46.8,7.75,7.75,75.168,1.069,1.04,41.776,7.83
2024-01-14,21.608,46.724,20.3,22.2,37.9,55.7,9.726,8.856,75.163,1.023,0.873,36.51,8.713
2024-01-15,21.416,42.495,19.5,21.9,35.6,49.7,8.145,7.965,75.212,1.056,1.014,41.123,8.07
2024-01-16,21.606,41.842,20.9,22.2,38.2,47.7,8.088,7.929,75.164,1.061,1.008,40.78,7.966
2024-01-17,21.772,40.536,21.4,22,32.7,47.8,7.771,7.756,75.122,1.073,1.027,41.231,7.765
2024-01-18,21.332,33.819,21,21.8,31.8,36.8,4.752,6.308,75.234,1.139,1.381,52.214,6.758
2024-01-19,21.105,32.154,20.8,21.5,29.1,36.1,3.832,5.919,75.295,1.159,1.522,56.503,6.506
2024-01-20,20.479,33.049,17.2,21,30.4,36,3.675,5.867,75.472,1.148,1.602,59.474,6.655
2024-01-21,20.655,33.97,20.2,21.2,30.3,37.6,4.221,6.092,75.421,1.138,1.508,56.594,6.794
2024-01-22,21.009,39.184,20.6,21.4,34.1,44.7,6.593,7.174,75.321,1.085,1.193,46.927,7.578
2024-01-23,21.521,39.167,21.1,22,37.1,42.8,7.043,7.386,75.185,1.085,1.111,44.033,7.564
2024-01-24,21.703,39.307,21.1,21.9,36.6,42.9,7.258,7.491,75.139,1.084,1.079,42.887,7.582
2024-01-25,21.613,36.932,21.4,21.7,33.3,41.6,6.27,7.002,75.162,1.107,1.185,46.165,7.225
2024-01-26,21.817,41.9,21.6,22.1,37.3,47.4,8.298,8.038,75.111,1.061,0.977,39.667,7.97
2024-01-27,21.85,40.678,21.6,22.2,38,44.2,7.893,7.818,75.103,1.071,1.011,40.689,7.785
2024-01-28,21.635,34.248,21.5,21.8,31.2,38.8,5.2,6.501,75.156,1.135,1.303,49.641,6.818
2024-01-29,21.668,33.402,21.3,22.1,30.5,37,4.869,6.353,75.148,1.144,1.34,50.693,6.688
2024-01-30,22.174,44.047,21.8,22.7,36.9,51.7,9.361,8.625,75.026,1.043,0.872,36.09,8.288
2024-01-31,22.019,46.621,20.8,22.6,41.5,51.6,10.067,9.048,75.063,1.024,0.827,34.763,8.687
