"doy","Temp","RH","Tmax","RHmax"
1,17.39,66.22,20.5,74.36
2,17.36,66.82,22.23,73.36
3,19.92,62.23,22.5,77.24
4,20.27,62.99,25.04,76.02
5,19.86,69.03,21.85,79.78
6,19.72,60.86,25.3,76.89
7,17.43,66.85,22.13,83.13
8,16.6,68.96,20.59,80.66
9,16.22,64.03,20.93,81.45
10,14.67,66.57,19.34,79.18
11,16.85,65.84,20.24,81.43
12,14.79,69.97,18.82,86.08
13,21.43,66.63,26.29,79.03
14,20.88,66.33,24.43,78.12
15,16,66.55,20.23,77.68
16,16.07,70.7,19.76,80.7
17,18.42,67.86,23.91,79.7
18,17.88,64.57,21.36,74.79
19,21.03,63.8,26.1,80.36
20,17.68,68.99,20.44,80.92
21,16.93,63.82,20.91,81.99
22,18.96,65.55,22.2,79.1
23,16.91,62.35,21.79,78.89
24,15.91,65.76,20.39,77.4
25,20.15,69.12,25.93,76.22
26,18.18,68.17,21.21,82.1
27,18.21,65.34,21.26,80.51
28,18.61,62.04,23.22,74.96
29,20.13,74.98,23.01,93.49
30,20.34,73.24,24.91,88.85
31,22.61,64.76,26.83,80.68
32,20.34,64.29,23.65,78.68
33,17.38,68.43,21.45,86.36
34,16.28,68.37,19.63,80.92
35,20.08,69.34,24.94,82.56
36,17.85,67.13,22.29,80.36
37,19.62,68.38,25.23,85.36
38,21.93,64.9,26.51,78.41
39,21.59,72.37,25.46,83.55
40,17.7,65.58,21.8,85.01
41,20.67,60.28,26.26,77.69
42,20.8,66.3,24.8,78.3
43,20.54,69.61,25.68,84.62
44,20.14,61.7,24.06,73.87
45,20.85,63.6,25.07,76.73
46,20.87,66.09,24.55,74.1
47,19.21,68.62,23.28,88.75
48,20.2,66.13,23.17,78.65
49,18.34,70.34,22.71,85.29
50,15.27,60.85,19.17,81.2
51,20.62,71.88,23.8,83.18
52,19.96,73.94,24.04,87.21
53,18.49,67,25.11,83.56
54,17.96,66.11,22.93,77.73
55,19.96,72.61,23.19,90.11
56,20.22,69.47,24.19,81.73
57,18.64,69.07,21.96,78.65
58,18.95,70.36,23.31,84.91
59,21.05,64.94,26.36,80.72
60,19.51,60.96,21.71,72.56
61,19.02,69.69,23.08,82.09
62,19.5,67.13,25.9,84.69
63,21.79,70.2,26.15,78.14
64,20.42,66.95,23.49,79.52
65,21.3,60.69,25.76,70.37
66,20.85,69.93,24.8,81.05
67,24.27,70.48,29.46,80.33
68,22.63,74.34,25.72,87.4
69,19.73,65.57,25.07,80.57
70,20.03,69.18,22.58,79.6
71,19.73,70.19,23.02,82.49
72,24.61,69.8,29.39,82.3
73,21.43,71.2,26.3,88.54
74,21.71,71.79,26.59,85.77
75,23.27,69.39,29.56,81.9
76,21.45,73.37,25.39,89.74
77,22.06,74.48,25.54,87.44
78,22.76,69.17,27.62,84.74
79,24.22,67.08,30.29,75.95
80,23.83,66.06,29.49,76.38
81,21.18,66.5,25.18,79.6
82,25.04,70.26,27.43,82.99
83,23.23,72.41,26.87,81.69
84,16.46,69.09,19.38,80.98
85,17.67,73.74,22.76,85.18
86,20.52,71.65,24.22,87.49
87,22.8,65.18,25.82,74.18
88,22.53,72.06,25.95,81.86
89,25.18,71.74,29.21,84.51
90,26.93,75.56,32.83,88.23
91,24.2,68.79,28.32,82.82
92,24.44,74.6,27.86,84.89
93,22.47,72.27,26.22,87.81
94,20,68.74,23.49,95.53
95,22.2,72.93,26.73,89.84
96,23,73.83,27.58,86.79
97,21.04,81.24,24.49,93.66
98,22.93,71.95,27.28,90.04
99,25.62,74.99,29.97,92.13
100,22.16,75.95,26.01,85.82
101,25.26,72.56,28.84,86.81
102,24.73,71.5,27.67,85.48
103,23.02,77.18,27.78,84.75
104,23.8,71.42,27.95,86.74
105,24.12,73.83,28.14,85.86
106,22.26,73.33,27.11,89.29
107,24.19,72.06,28.07,83.73
108,26.85,76.56,34.12,87.9
109,22.06,73.62,24.99,87.2
110,24.12,75.19,28.69,91.82
111,25.7,78.13,30.48,96.27
112,21.75,82.54,26.44,93.22
113,24.73,82.35,28.91,93.42
114,22.89,75.81,26.67,93.56
115,24.09,74.43,28.14,88.09
116,27.53,76.7,32.18,87.75
117,26.65,76.11,29.33,91.81
118,27.61,78.21,32.41,90.38
119,25.77,78.66,30.54,93.07
120,27.73,73.23,32.28,85.01
121,22.55,72.42,27.07,87.31
122,26.38,75.54,32.07,84.51
123,25.66,78.33,30.3,95.04
124,29.57,79.09,32.49,90.95
125,28.92,77.03,32.62,89.26
126,26.51,79.25,28.32,91.83
127,24.07,81.75,27.8,95.75
128,24.35,82.03,29.97,96.9
129,26.59,75.54,29.67,97.78
130,26.5,77.95,30.39,99
131,28.5,81.96,31.61,98
132,27.27,82.67,31.07,94.98
133,27.61,83.27,31.61,95.26
134,28.14,79.91,32.33,92.89
135,24.45,82.04,28.69,98
136,27.63,82.62,33.29,99
137,25.54,76.8,28.97,91.77
138,25.56,78.3,30.22,89.51
139,27.53,82.15,34.35,90.75
140,32.15,82.49,36.54,97.53
141,25.57,78.52,29.74,96.92
142,23.73,78.5,27.99,91.05
143,25.63,73.47,28.33,84.3
144,28.72,80.85,34.23,94.29
145,26.83,78.92,29.89,97.96
146,27.24,76.48,30.31,85.32
147,27.76,75.86,34.84,87.56
148,28.83,78.64,32.22,97.61
149,27.18,81.21,31.82,92.93
150,27.61,82.66,33.56,93.44
151,31.84,87.52,39.12,98
152,29,84.64,31.76,99
153,30.01,77.87,33.59,88.41
154,30.61,81.85,34.66,93.89
155,27.16,87.67,32.63,99
156,27.52,84.17,33.66,98
157,31.06,82.63,35.85,95.01
158,32.11,80.15,37.21,97.26
159,29.65,85.66,34.08,99
160,26.26,78.81,31.15,91.54
161,30.5,80.96,36.02,98.98
162,29.91,78.1,32.41,92.18
163,27.41,79.66,30.1,99
164,30.47,80.02,34.63,91.69
165,30.07,81.15,34.07,90.81
166,31.43,81,35.74,99
167,29.22,86.16,31.71,96.76
168,28.27,76.66,34.06,99
169,30.01,76.08,34.57,88.92
170,28.52,80.53,33.3,92.34
171,25.64,83.09,30.68,99
172,28.29,82.13,32.78,98
173,29.41,88.28,33.13,98
174,28.46,82.33,32.89,99
175,27.23,89.41,32.39,99
176,28.27,89.51,32.73,98
177,27.61,82.27,31.76,98.38
178,27.81,91.12,31.26,98
179,29.41,83.93,33.8,99
180,29.21,84.35,33.64,99
181,30.31,80.4,35.58,96.11
182,29.86,77.16,34.17,87.92
183,29.39,83.06,34.72,95.95
184,30.24,89.25,34.83,98
185,27.01,83.39,31.64,96.85
186,29.05,80.73,34.75,98.36
187,29.6,83.63,33.74,98.68
188,30.59,84.92,36.07,99
189,29.51,91.88,33.45,98
190,30.17,83.25,35.05,98
191,33.51,84.63,37.39,91.44
192,30.78,79.85,34.02,98
193,30.85,84.01,34.07,99
194,31,84.29,34.56,93.06
195,32.54,80.65,38.02,99
196,29.51,82.09,32.86,99
197,32.63,76.98,36.58,93.01
198,32.24,84.16,36.23,98
199,27.44,90.1,30.94,99
200,28.97,84.79,33.91,96.43
201,27.13,80.2,31.8,92.52
202,27.75,81.31,30.19,97.59
203,28.27,81.62,31.32,94.72
204,31.16,84.63,36.67,97.62
205,30.65,78.68,34.79,99
206,30.07,76.64,33.19,86.1
207,30.82,81.99,35.29,92.66
208,29.58,82.06,33.14,99
209,32.54,84.89,39.69,98
210,28.43,76.93,32.89,89.04
211,28.51,79.87,34.46,90.14
212,28.8,79.83,30.9,94.23
213,29.41,84.41,33.88,99
214,34.61,84.3,40.2,97.01
215,30.68,80.46,34.49,95.08
216,29.7,80.96,32.79,99
217,29.54,78.68,31.78,97.31
218,29.23,78.57,33.46,86.76
219,29.36,77.51,35.54,88.61
220,29.5,78.52,32.71,89.71
221,27.99,83.69,32.73,96.95
222,31.13,84.57,35.88,92.21
223,30.96,80.99,33.93,98
224,32.07,77.41,37.17,86.36
225,30.6,77.68,36,91.81
226,27.69,83.56,31.09,91.96
227,28.43,82.48,31.81,98
228,25.87,89.69,29.66,98
229,28.68,83.27,34.36,98
230,27.95,73.25,32.28,87.39
231,26.6,76.23,29.03,87.85
232,27.92,79.21,32.43,94.06
233,29.72,80.34,33.99,93.61
234,28.28,87.14,31.43,99
235,30.83,85.66,35.79,99
236,31.26,77.66,36.17,94.04
237,26.1,83.15,30.56,97.52
238,28.17,80.1,33.36,98.61
239,27.96,85.55,33.78,94.92
240,26.65,78.66,30.5,98
241,27.36,78.84,29.82,87.65
242,29.81,81.32,33.45,97.56
243,27.54,78.22,31.67,98.61
244,28.88,74.65,32.94,87.5
245,28.53,78.63,32.37,98
246,27.27,77.06,29.46,96.86
247,26.73,70.18,30.93,83.12
248,27.86,81.19,34.7,99
249,29,75.02,33.81,91.02
250,26.74,75.28,32.09,99
251,24.62,81.45,28.91,99
252,26.83,76.69,29.6,87.83
253,25.73,78.13,30.38,91.81
254,27.88,68.37,32.21,82.57
255,28.32,82.02,32.12,94.8
256,30.65,82.67,35.98,96.46
257,28.31,84.03,32.91,99
258,30.38,81.76,34.37,99
259,27.42,79.72,31.16,99
260,26.59,79.12,32.21,89.12
261,28.23,77.48,33.57,95.8
262,27.7,78.7,32.42,95.34
263,27.76,79.79,34.03,89.57
264,26.92,81.72,30.6,97.02
265,28.38,78.33,33.48,96.07
266,29.39,75.69,32.39,89.91
267,25.75,73.58,29.23,90.13
268,26.57,78.9,33.13,92.22
269,30.18,79.72,34.77,94.67
270,28.61,79.51,32.87,94.48
271,28.01,72.47,31.3,82.98
272,24.62,78.22,28.16,91.33
273,23.5,70.95,28.96,81.64
274,25.11,74.37,29.49,85.51
275,26.83,68.48,32.43,78.68
276,23.29,77.94,26.52,85.23
277,20.53,78.92,24.53,90.96
278,24.73,77.5,30.14,91.15
279,27.08,76.43,32.06,91.6
280,26.07,68.61,29.72,80.63
281,22.21,71.85,26.11,87.22
282,24.05,73.47,27.95,88.38
283,22.68,67.09,26.84,80.85
284,26.54,72.5,31.01,89.06
285,25.77,75.76,30.1,91.26
286,24.3,66.89,27.16,80.16
287,25.72,69.09,29.87,85.35
288,25.54,75.43,28.77,87.04
289,24.04,75.72,29.61,99
290,23.42,69.3,26.24,87.1
291,22.34,74.45,28.49,82.43
292,23.52,73.9,27.66,92.19
293,25.1,75.76,29.34,88.51
294,25.71,71.59,32.26,84.92
295,24.8,78.84,28.79,88.99
296,22.05,74.83,25.91,90.87
297,22.54,65.07,26.66,77.81
298,23.15,67.06,29.76,79.92
299,22.79,66.2,25.78,82.76
300,22.05,68.4,26.67,79.49
301,23.3,68.17,27.75,75.11
302,26.19,68.44,29.61,82.76
303,24.4,75.17,29.8,87.61
304,25.66,71.42,31.49,84.66
305,25.53,70.42,31.03,83.44
306,22.73,69.44,28.02,81.88
307,25.64,74.29,30.78,83.56
308,23.63,75.31,26.95,90.64
309,21.43,73.8,25.27,91.5
310,22.6,74.61,25.23,87.49
311,26.46,75.21,30.72,90.02
312,21.61,69.05,24.52,91.27
313,20.21,62.83,24.34,76.9
314,20.59,70.05,25.12,78.99
315,22.58,71.36,26.08,90.54
316,20.8,71.71,24.6,82.79
317,21.35,70.78,26.99,83.99
318,21.87,64.4,25.34,82.77
319,22.21,69.41,26.22,80.42
320,23.2,69.16,25.74,82.29
321,21.38,76.56,25.56,85.68
322,20.72,70.04,26.77,86.53
323,24.28,65.8,29.01,79.82
324,20.58,70.29,24.1,79.43
325,23.77,67.86,30.7,85.98
326,24.63,63.84,29.52,80.23
327,22.98,68.31,25.83,84.68
328,20.22,67.3,23.89,85.74
329,18.5,69.72,22,83.47
330,21.93,74.64,26.48,85.41
331,20.77,71.53,26.21,91.12
332,21.46,73.57,26.34,89.88
333,21.25,69.6,24.14,86.21
334,19.07,67.55,22.08,80.66
335,17.5,70.63,21.23,78.03
336,18.82,71.48,22.57,92.46
337,20.84,67.5,26.29,83.92
338,17.78,65.13,20.52,82.91
339,18.12,62.49,21.78,75.71
340,18.01,56.63,22.75,70.22
341,20.05,70.7,23.66,88.8
342,21.26,69.97,26.66,87.77
343,21.29,69.44,26.42,80.77
344,18.89,72.34,21.94,84.05
345,18.36,67.77,23.48,79.39
346,19.22,66.67,25.49,83.25
347,19.74,61.64,24.43,77.63
348,18.69,67.28,24.7,77.72
349,18.32,66.28,21.77,80.66
350,19.96,65.79,22.85,76.64
351,19.18,64.47,23.42,72.33
352,22.03,61.45,28.38,78.05
353,21.09,64.78,25.07,75.95
354,19.16,66.83,21.47,78.16
355,18.11,71.14,23.37,85.23
356,17.77,71.76,21.91,83.86
357,18.82,67.67,22.26,88.75
358,18.96,65.82,22.94,78.43
359,21.82,65.6,26.21,80.77
360,20.81,66.14,23.36,80.11
361,19,65.25,22.66,81.89
362,19.4,66.31,22.61,80.47
363,19.1,64.67,23.13,74.26
364,18.42,67.83,22.51,76.3
365,19.87,71.94,24.44,81.17
