"h","doy","hod","out_T","out_RH","gal_T","gal_RH","case_T","case_RH","hvac","gal_M_fix","case_M_fix","gal_M_pkg","gal_LIM","case_LIM","gal_DP"
1,152,0,28.31,99,26,62,26,55,0,0,0,0,74.38,74.38,18.16
2,152,1,27.82,91.91,26.05,63.76,26.01,55.1,0,0,0,0,74.37,74.38,18.66
3,152,2,27.03,94.3,26.12,65.1,26.03,55.21,0,0,0,0,74.37,74.38,19.05
4,152,3,26.54,97.32,26.09,66.99,26.04,55.34,0,0,0,0,74.37,74.38,19.48
5,152,4,25.72,98,25.93,69.35,26.02,55.49,0,0,0,0,74.39,74.38,19.89
6,152,5,25.87,98,25.79,71.65,25.98,55.67,0,0,0,0,74.4,74.38,20.29
7,152,6,27.11,98,25.81,73.37,25.94,55.87,0,0,0,0,74.4,74.39,20.68
8,152,7,27.11,96.55,25.86,74.48,25.93,56.08,0,0,0,0,74.4,74.39,20.98
9,152,8,27.73,96.04,25.88,76.13,25.92,56.3,0,0,0,0,74.39,74.39,21.35
10,152,9,28.18,92.54,26.02,77.38,25.94,56.53,0,0,0,0,74.38,74.39,21.75
11,152,10,30.41,89.78,26.33,78.1,26.02,56.77,0,0,0,0,74.35,74.38,22.21
12,152,11,30.46,87.28,26.64,78.77,26.14,57.02,0,0,0,0,74.32,74.36,22.65
13,152,12,31.44,83.49,26.91,79.15,26.29,57.26,0,0,0,6e-04,74.29,74.35,22.99
14,152,13,31.24,76.09,27.16,78.75,26.47,57.5,0,0,0,6e-04,74.27,74.33,23.15
15,152,14,30.77,73.22,27.34,78.33,26.64,57.73,0,0,0,6e-04,74.26,74.32,23.24
16,152,15,31.76,69.89,27.63,77.43,26.84,57.95,0,0,0,6e-04,74.24,74.3,23.33
17,152,16,31.63,68.89,27.89,76.52,27.05,58.16,0,0,0,6e-04,74.22,74.28,23.38
18,152,17,31.04,68.34,28.04,76.37,27.25,58.36,0,0,0,6e-04,74.21,74.26,23.49
19,152,18,31.51,68.53,28.3,76.16,27.46,58.56,0,0,0,6e-04,74.2,74.25,23.7
20,152,19,30.57,70.35,28.43,75.74,27.65,58.75,0,0,0,6e-04,74.2,74.24,23.74
21,152,20,30.21,71.8,28.5,75.84,27.82,58.94,0,0,0,6e-04,74.19,74.23,23.83
22,152,21,28.42,76.84,28.37,76.03,27.93,59.13,0,0,0,6e-04,74.2,74.22,23.74
23,152,22,27.31,81.94,28.19,76.63,27.99,59.33,0,0,0,6e-04,74.21,74.22,23.7
24,152,23,27.88,83.2,28.11,77.25,28.01,59.52,0,0,0,6e-04,74.21,74.22,23.75
25,153,0,26.34,83.26,27.89,77.32,27.99,59.72,0,0,0,6e-04,74.22,74.22,23.55
