"sample","Salt","RH","mol","RH_cryst"
"FT-01","niter",98,3.57e-06,90.6
"FT-01","niter",97.5,6.23e-06,90.6
"FT-01","niter",97,1.085e-05,90.6
"FT-01","niter",96.5,1.891e-05,90.6
"FT-01","niter",96,3.292e-05,90.6
"FT-01","niter",95.5,5.727e-05,90.6
"FT-01","niter",95,9.949e-05,90.6
"FT-01","niter",94.5,0.00017245,90.6
"FT-01","niter",94,0.00029769,90.6
"FT-01","niter",93.5,0.00051037,90.6
"FT-01","niter",93,0.0008649,90.6
"FT-01","niter",92.5,0.00143803,90.6
"FT-01","niter",92,0.00232016,90.6
"FT-01","niter",91.5,0.00358027,90.6
"FT-01","niter",91,0.00520093,90.6
"FT-01","niter",90.5,0.00702563,90.6
"FT-01","niter",90,0.00879628,90.6
"FT-01","niter",89.5,0.01028325,90.6
"FT-01","niter",89,0.01138775,90.6
"FT-01","niter",88.5,0.01213562,90.6
"FT-01","niter",88,0.0126108,90.6
"FT-01","niter",87.5,0.01290062,90.6
"FT-01","niter",87,0.01307299,90.6
"FT-01","niter",86.5,0.01317399,90.6
"FT-01","niter",86,0.01323265,90.6
"FT-01","niter",85.5,0.01326654,90.6
"FT-01","niter",85,0.01328606,90.6
"FT-01","niter",84.5,0.01329729,90.6
"FT-01","niter",84,0.01330374,90.6
"FT-01","niter",83.5,0.01330745,90.6
"FT-01","niter",83,0.01330957,90.6
"FT-01","niter",82.5,0.01331079,90.6
"FT-01","niter",82,0.01331149,90.6
"FT-01","niter",81.5,0.01331189,90.6
"FT-01","niter",81,0.01331212,90.6
"FT-01","niter",80.5,0.01331226,90.6
"FT-01","niter",80,0.01331233,90.6
"FT-01","niter",79.5,0.01331238,90.6
"FT-01","niter",79,0.0133124,90.6
"FT-01","niter",78.5,0.01331242,90.6
"FT-01","niter",78,0.01331242,90.6
"FT-01","niter",77.5,0.01331243,90.6
"FT-01","niter",77,0.01331243,90.6
"FT-01","niter",76.5,0.01331243,90.6
"FT-01","niter",76,0.01331243,90.6
"FT-01","niter",75.5,0.01331243,90.6
"FT-01","niter",75,0.01331243,90.6
"FT-01","niter",74.5,0.01331243,90.6
"FT-01","niter",74,0.01331243,90.6
"FT-01","niter",73.5,0.01331243,90.6
"FT-01","niter",73,0.01331243,90.6
"FT-01","niter",72.5,0.01331244,90.6
"FT-01","niter",72,0.01331244,90.6
"FT-01","niter",71.5,0.01331244,90.6
"FT-01","niter",71,0.01331244,90.6
"FT-01","niter",70.5,0.01331244,90.6
"FT-01","niter",70,0.01331244,90.6
"FT-01","niter",69.5,0.01331244,90.6
"FT-01","niter",69,0.01331244,90.6
"FT-01","niter",68.5,0.01331244,90.6
"FT-01","niter",68,0.01331244,90.6
"FT-01","niter",67.5,0.01331244,90.6
"FT-01","niter",67,0.01331244,90.6
"FT-01","niter",66.5,0.01331244,90.6
"FT-01","niter",66,0.01331244,90.6
"FT-01","niter",65.5,0.01331244,90.6
"FT-01","niter",65,0.01331244,90.6
"FT-01","niter",64.5,0.01331244,90.6
"FT-01","niter",64,0.01331244,90.6
"FT-01","niter",63.5,0.01331244,90.6
