"doy","T","RH","LM","PI","EMC","strategy"
1,19.558,50.058,1.071,44.382,9.3,"A"
2,19.556,50.305,1.061,44.049,9.338,"A"
3,20.201,48.476,1.024,42.364,9.027,"A"
4,20.293,48.784,0.998,41.457,9.077,"A"
5,20.194,51.204,0.954,40.11,9.468,"A"
6,20.163,47.941,1.034,42.729,8.941,"A"
7,19.61,50.188,1.056,43.855,9.316,"A"
8,19.39,51.185,1.067,44.386,9.484,"A"
9,19.297,49.21,1.132,46.53,9.165,"A"
10,18.927,50.076,1.164,47.892,9.313,"A"
11,19.473,49.784,1.098,45.345,9.25,"A"
12,18.945,51.581,1.119,46.435,9.559,"A"
13,20.606,50.245,0.917,38.628,9.297,"A"
14,20.471,50.121,0.943,39.535,9.284,"A"
15,19.251,50.2,1.112,45.948,9.326,"A"
16,19.267,51.856,1.064,44.372,9.603,"A"
17,19.855,50.712,1.016,42.356,9.4,"A"
18,19.719,49.386,1.064,44.024,9.183,"A"
19,20.519,48.92,0.966,40.26,9.09,"A"
20,19.68,50.987,1.03,42.974,9.443,"A"
21,19.476,49.056,1.111,45.711,9.138,"A"
22,19.98,49.738,1.026,42.582,9.238,"A"
23,19.479,48.295,1.131,46.368,9.013,"A"
24,19.212,49.793,1.131,46.561,9.262,"A"
25,20.266,51.126,0.945,39.755,9.458,"A"
26,19.771,50.728,1.022,42.634,9.4,"A"
27,19.787,49.429,1.058,43.762,9.189,"A"
28,19.866,48.242,1.073,44.18,8.996,"A"
29,20.243,53.401,0.9,38.337,9.83,"A"
30,20.303,52.534,0.902,38.345,9.68,"A"
31,20.849,49.273,0.913,38.331,9.135,"A"
32,20.276,49.064,0.994,41.337,9.117,"A"
33,19.528,50.696,1.06,44.026,9.404,"A"
34,19.261,50.501,1.1,45.562,9.376,"A"
35,20.189,51.016,0.955,40.145,9.436,"A"
36,19.637,49.955,1.073,44.347,9.285,"A"
37,20.055,50.579,0.985,41.214,9.369,"A"
38,20.625,49.163,0.941,39.373,9.125,"A"
39,20.53,52.123,0.889,37.757,9.609,"A"
40,19.549,49.381,1.099,45.233,9.192,"A"
41,20.28,47.233,1.042,42.862,8.829,"A"
