"Tset","RHset","kWh_cool","kWh_heat","LM","PI","EMC","LIM","mould_margin","dp"
18,40,32217.9824,28.7259,1.7717,67.3311,7.7614,76.3373,36.3373,4.1948
18.5,40,31275.64,40.9885,1.6506,63.1598,7.752,76.1405,36.1405,4.6433
19,40,30325.8842,58.3448,1.5381,59.2599,7.7424,75.9555,35.9555,5.0916
19.5,40,29370.2849,82.6791,1.4336,55.6129,7.7325,75.7817,35.7817,5.5399
20,40,28409.0748,114.5449,1.3365,52.2017,7.7224,75.6188,35.6188,5.9881
20.5,40,27443.4567,155.4734,1.2464,49.0102,7.712,75.4662,35.4662,6.4362
21,40,26476.6504,209.0193,1.1625,46.0238,7.7014,75.3236,35.3236,6.8842
21.5,40,25509.0407,275.9101,1.0846,43.2286,7.6905,75.1907,35.1907,7.3322
22,40,24543.0626,358.9307,1.0121,40.6117,7.6795,75.0671,35.0671,7.78
22.5,40,23580.0539,459.7766,0.9447,38.1613,7.6681,74.9524,34.9524,8.2277
23,40,22621.1134,579.912,0.882,35.8663,7.6566,74.8465,34.8465,8.6754
23.5,40,21669.3219,722.7909,0.8237,33.7164,7.6448,74.749,34.749,9.1229
24,40,20727.6687,891.7841,0.7693,31.7019,7.6328,74.6597,34.6597,9.5704
24.5,40,19799.9522,1091.0796,0.7188,29.814,7.6206,74.5784,34.5784,10.0178
25,40,18887.4179,1322.3211,0.6717,28.0442,7.6082,74.5048,34.5048,10.4651
25.5,40,17992.4296,1588.279,0.6278,26.385,7.5955,74.4387,34.4387,10.9123
26,40,17117.2605,1891.6422,0.5869,24.8289,7.5827,74.3801,34.3801,11.3594
26.5,40,16260.1893,2231.1139,0.5488,23.3694,7.5696,74.3287,34.3287,11.8064
27,40,15420.7306,2606.6424,0.5133,22.0001,7.5563,74.2844,34.2844,12.2533
27.5,40,14597.5415,3017.3279,0.4803,20.7152,7.5429,74.2471,34.2471,12.7002
28,40,13794.0575,3467.0588,0.4494,19.5092,7.5292,74.2167,34.2167,13.1469
18,41,31885.4125,32.5157,1.7157,65.6889,7.914,76.3373,35.3373,4.5476
18.5,41,30933.7372,46.4855,1.5984,61.6193,7.9044,76.1405,35.1405,4.9974
19,41,29975.2587,66.4832,1.4895,57.8145,7.8945,75.9555,34.9555,5.4471
19.5,41,29010.9584,93.8132,1.3883,54.2565,7.8844,75.7817,34.7817,5.8966
20,41,28040.9275,128.8963,1.2943,50.9285,7.874,75.6188,34.6188,6.3461
20.5,41,27067.9123,174.8158,1.207,47.8149,7.8634,75.4662,34.4662,6.7955
21,41,26093.3885,233.392,1.1258,44.9013,7.8526,75.3236,34.3236,7.2448
21.5,41,25119.8236,307.4442,1.0503,42.1742,7.8415,75.1907,34.1907,7.694
22,41,24147.9391,398.0534,0.9802,39.6212,7.8302,75.0671,34.0671,8.1432
22.5,41,23179.5085,507.3607,0.9149,37.2305,7.8186,74.9524,33.9524,8.5922
23,41,22216.3185,637.5281,0.8542,34.9915,7.8068,74.8465,33.8465,9.0412
23.5,41,21261.7949,792.3652,0.7976,32.894,7.7948,74.749,33.749,9.49
24,41,20319.1415,975.4678,0.745,30.9287,7.7826,74.6597,33.6597,9.9388
24.5,41,19390.9584,1189.8364,0.6961,29.0868,7.7701,74.5784,33.5784,10.3875
25,41,18479.6698,1438.3046,0.6505,27.3602,7.7574,74.5048,33.5048,10.8361
25.5,41,17587.2289,1723.2435,0.608,25.7414,7.7445,74.4387,33.4387,11.2846
26,41,16714.306,2045.7508,0.5684,24.2234,7.7314,74.3801,33.3801,11.733
26.5,41,15859.7492,2405.1112,0.5315,22.7994,7.7181,74.3287,33.3287,12.1813
27,41,15021.5913,2799.8035,0.4971,21.4635,7.7046,74.2844,33.2844,12.6296
27.5,41,14201.9358,3232.3867,0.4651,20.21,7.6908,74.2471,33.2471,13.0777
28,41,13401.1309,3703.6748,0.4352,19.0334,7.6769,74.2167,33.2167,13.5258
18,42,31553.2403,36.8416,1.6628,64.1249,8.0668,76.3373,34.3373,4.893
18.5,42,30592.4757,52.7711,1.5491,60.1522,8.057,76.1405,34.1405,5.344
19,42,29625.4,75.5454,1.4435,56.438,8.0469,75.9555,33.9555,5.7949
19.5,42,28652.3391,105.8217,1.3455,52.9647,8.0366,75.7817,33.7817,6.2457
20,42,27673.9644,144.61,1.2544,49.7159,8.026,75.6188,33.6188,6.6965
20.5,42,26694.0466,196.0269,1.1698,46.6764,8.0152,75.4662,33.4662,7.1471
21,42,25712.5744,260.4148,1.0911,43.8322,8.0041,75.3236,33.3236,7.5977
21.5,42,24732.6522,341.2393,1.0179,41.17,7.9927,75.1907,33.1907,8.0482
22,42,23755.5115,440.1012,0.9499,38.6778,7.9812,75.0671,33.0671,8.4986
22.5,42,22781.9971,558.2226,0.8867,36.3441,7.9694,74.9524,32.9524,8.9489
23,42,21815.2118,699.092,0.8278,34.1584,7.9573,74.8465,32.8465,9.3991
23.5,42,20858.586,866.5337,0.773,32.1108,7.9451,74.749,32.749,9.8493
24,42,19915.5728,1064.4036,0.7221,30.1923,7.9326,74.6597,32.6597,10.2993
24.5,42,18987.9162,1294.857,0.6746,28.3943,7.9199,74.5784,32.5784,10.7493
25,42,18078.219,1560.9172,0.6304,26.7088,7.9069,74.5048,32.5048,11.1992
25.5,42,17188.6736,1865.2062,0.5892,25.1285,7.8938,74.4387,32.4387,11.649
26,42,16317.9176,2206.8005,0.5509,23.6466,7.8804,74.3801,32.3801,12.0987
26.5,42,15465.4207,2585.6185,0.5151,22.2566,7.8668,74.3287,32.3287,12.5483
27,42,14629.5175,3000.4532,0.4818,20.9525,7.8531,74.2844,32.2844,12.9978
27.5,42,13813.8477,3455.4125,0.4507,19.7288,7.8391,74.2471,32.2471,13.4473
28,42,13015.4986,3948.0625,0.4218,18.5802,7.8249,74.2167,32.2167,13.8966
18,43,31221.5837,41.8213,1.6127,62.6336,8.2202,76.3373,33.3373,5.2311
18.5,43,30251.9803,59.9702,1.5024,58.7533,8.2101,76.1405,33.1405,5.6833
19,43,29276.2414,85.4649,1.4001,55.1255,8.1998,75.9555,32.9555,6.1355
19.5,43,28294.594,118.872,1.305,51.7329,8.1892,75.7817,32.7817,6.5876
20,43,27308.6864,162.1873,1.2166,48.5597,8.1784,75.6188,32.6188,7.0395
20.5,43,26321.3792,218.6264,1.1345,45.5909,8.1673,75.4662,32.4662,7.4914
21,43,25333.9272,289.8068,1.0582,42.8128,8.156,75.3236,32.3236,7.9433
21.5,43,24348.1121,377.8811,0.9873,40.2126,8.1444,75.1907,32.1907,8.395
22,43,23365.486,484.7803,0.9213,37.7783,8.1326,75.0671,32.0671,8.8466
22.5,43,22387.7805,612.6234,0.86,35.4989,8.1206,74.9524,31.9524,9.2982
23,43,21418.1849,764.9953,0.8029,33.364,8.1083,74.8465,31.8465,9.7497
23.5,43,20460.1745,945.7759,0.7497,31.3641,8.0958,74.749,31.749,10.2011
24,43,19517.0942,1158.7233,0.7003,29.4902,8.083,74.6597,31.6597,10.6524
24.5,43,18590.6837,1405.9997,0.6543,27.7339,8.0701,74.5784,31.5784,11.1036
25,43,17683.3053,1690.3992,0.6114,26.0877,8.0569,74.5048,31.5048,11.5547
25.5,43,16796.2546,2013.6583,0.5715,24.5442,8.0435,74.4387,31.4387,12.0058
26,43,15928.0593,2374.7556,0.5343,23.0967,8.0298,74.3801,31.3801,12.4568
26.5,43,15076.8802,2772.3127,0.4996,21.739,8.016,74.3287,31.3287,12.9077
27,43,14244.5444,3208.6273,0.4673,20.4652,8.002,74.2844,31.2844,13.3585
27.5,43,13431.7278,3684.8566,0.4372,19.27,7.9877,74.2471,31.2471,13.8092
28,43,12636.5809,4199.6427,0.4091,18.1481,7.9732,74.2167,31.2167,14.2598
18,44,30890.2201,47.2325,1.5652,61.2101,8.3741,76.3373,32.3373,5.5624
18.5,44,29912.2387,68.0707,1.4582,57.418,8.3638,76.1405,32.1405,6.0158
19,44,28928.072,96.5308,1.3588,53.8726,8.3533,75.9555,31.9555,6.4692
19.5,44,27937.8766,133.1175,1.2665,50.5572,8.3425,75.7817,31.7817,6.9224
20,44,26945.0951,181.6298,1.1808,47.4561,8.3314,75.6188,31.6188,7.3756
20.5,44,25950.4739,243.178,1.1011,44.5548,8.3201,75.4662,31.4662,7.8288
21,44,24957.2345,321.3558,1.0271,41.8398,8.3085,75.3236,31.3236,8.2818
21.5,44,23965.9702,417.1368,0.9582,39.2987,8.2967,75.1907,31.1907,8.7347
22,44,22978.3842,532.6128,0.8942,36.9197,8.2846,75.0671,31.0671,9.1876
22.5,44,21996.8447,670.5492,0.8346,34.6921,8.2723,74.9524,30.9524,9.6404
23,44,21025.3036,835.3041,0.7792,32.6057,8.2598,74.8465,30.8465,10.0931
23.5,44,20066.6641,1030.1956,0.7277,30.6513,8.247,74.749,30.749,10.5457
24,44,19123.7657,1258.4872,0.6797,28.8199,8.234,74.6597,30.6597,10.9983
24.5,44,18199.1339,1523.1379,0.635,27.1036,8.2208,74.5784,30.5784,11.4507
25,44,17294.6538,1826.4759,0.5934,25.4948,8.2074,74.5048,30.5048,11.9031
25.5,44,16409.8679,2168.4962,0.5546,23.9863,8.1937,74.4387,30.4387,12.3554
26,44,15544.0592,2548.9447,0.5185,22.5718,8.1798,74.3801,30.3801,12.8076
26.5,44,14695.0461,2966.1125,0.4849,21.2449,8.1657,74.3287,30.3287,13.2597
27,44,13866.7234,3424.3778,0.4535,20.0001,8.1514,74.2844,30.2844,13.7118
27.5,44,13056.4402,3921.5835,0.4243,18.832,8.1369,74.2471,30.2471,14.1637
28,44,12264.7103,4458.7485,0.397,17.7357,8.1222,74.2167,30.2167,14.6156
18,45,30559.5075,53.433,1.5202,59.8499,8.5288,76.3373,31.3373,5.887
18.5,45,29573.1476,76.9693,1.4162,56.1421,8.5183,76.1405,31.1405,6.3416
19,45,28580.4818,108.3332,1.3197,52.6755,8.5075,75.9555,30.9555,6.7962
19.5,45,27582.4513,148.8228,1.2301,49.4337,8.4965,75.7817,30.7817,7.2507
20,45,26582.8293,202.5764,1.1468,46.4015,8.4852,75.6188,30.6188,7.7051
20.5,45,25581.9372,270.2887,1.0694,43.5647,8.4736,75.4662,30.4662,8.1594
21,45,24582.5974,355.1632,0.9975,40.91,8.4618,75.3236,30.3236,8.6136
21.5,45,23586.2857,459.0656,0.9306,38.4254,8.4497,75.1907,30.1907,9.0677
22,45,22594.225,583.6174,0.8684,36.0993,8.4374,75.0671,30.0671,9.5218
22.5,45,21609.8135,732.6242,0.8106,33.9212,8.4249,74.9524,29.9524,9.9758
23,45,20636.3943,909.8451,0.7568,31.8812,8.4121,74.8465,29.8465,10.4297
23.5,45,19678.0807,1119.8191,0.7067,29.9701,8.3991,74.749,29.749,10.8835
24,45,18736.3446,1364.453,0.6601,28.1795,8.3858,74.6597,29.6597,11.3373
24.5,45,17813.7042,1646.7093,0.6167,26.5013,8.3723,74.5784,29.5784,11.7909
25,45,16912.0761,1968.9593,0.5763,24.9282,8.3586,74.5048,29.5048,12.2445
25.5,45,16029.8233,2330.0301,0.5387,23.4533,8.3447,74.4387,29.4387,12.698
26,45,15165.4535,2728.9042,0.5036,22.0702,8.3306,74.3801,29.3801,13.1515
26.5,45,14319.8563,3166.9562,0.4709,20.7728,8.3162,74.3287,29.3287,13.6048
27,45,13494.7097,3646.36,0.4405,19.5557,8.3016,74.2844,29.2844,14.0581
27.5,45,12687.5323,4165.1412,0.4121,18.4135,8.2868,74.2471,29.2471,14.5112
28,45,11899.5486,4725.0421,0.3856,17.3415,8.2718,74.2167,29.2167,14.9644
18,46,30229.4932,60.4704,1.4773,58.5488,8.6845,76.3373,30.3373,6.2054
18.5,46,29234.7702,86.7294,1.3763,54.9216,8.6737,76.1405,30.1405,6.6612
19,46,28233.8061,121.2076,1.2825,51.5304,8.6627,75.9555,29.9555,7.1169
19.5,46,27228.647,166.3169,1.1954,48.3591,8.6514,75.7817,29.7817,7.5725
20,46,26221.8217,224.9601,1.1145,45.3928,8.6399,75.6188,29.6188,8.0281
20.5,46,25215.2868,299.476,1.0393,42.6176,8.6281,75.4662,29.4662,8.4836
21,46,24210.4577,391.6706,0.9694,40.0207,8.616,75.3236,29.3236,8.939
21.5,46,23209.1018,503.7111,0.9044,37.59,8.6037,75.1907,29.1907,9.3943
22,46,22213.2011,637.9874,0.844,35.3145,8.5911,75.0671,29.0671,9.8495
22.5,46,21226.5096,798.671,0.7878,33.1837,8.5783,74.9524,28.9524,10.3047
23,46,20252.5277,989.6892,0.7355,31.1881,8.5653,74.8465,28.8465,10.7598
23.5,46,19294.0682,1214.2905,0.6868,29.3186,8.552,74.749,28.749,11.2148
24,46,18354.0601,1475.8499,0.6415,27.5669,8.5385,74.6597,28.6597,11.6697
24.5,46,17434.2272,1776.5468,0.5993,25.9252,8.5247,74.5784,28.5784,12.1246
25,46,16535.0032,2117.2806,0.5601,24.3863,8.5108,74.5048,28.5048,12.5794
25.5,46,15655.4782,2497.6176,0.5235,22.9435,8.4966,74.4387,28.4387,13.0341
26,46,14793.0314,2915.4237,0.4894,21.5904,8.4822,74.3801,28.3801,13.4887
26.5,46,13951.4668,3375.0002,0.4577,20.3212,8.4675,74.3287,28.3287,13.9432
27,46,13128.9243,3874.9956,0.4281,19.1305,8.4527,74.2844,28.2844,14.3977
27.5,46,12325.2122,4415.7381,0.4005,18.0132,8.4376,74.2471,28.2471,14.8521
28,46,11541.0368,4998.4653,0.3747,16.9646,8.4224,74.2167,28.2167,15.3064
18,47,29900.2072,68.3747,1.4366,57.3031,8.8413,76.3373,29.3373,6.5176
18.5,47,28897.3084,97.5528,1.3384,53.753,8.8303,76.1405,29.1405,6.9746
19,47,27888.0863,135.1955,1.2472,50.434,8.819,75.9555,28.9555,7.4315
19.5,47,26876.3774,185.5136,1.1625,47.3301,8.8075,75.7817,28.7817,7.8882
20,47,25862.7243,249.4328,1.0838,44.427,8.7957,75.6188,28.6188,8.345
20.5,47,24850.4779,330.6954,1.0106,41.7108,8.7836,75.4662,28.4662,8.8016
21,47,23840.6588,430.722,0.9427,39.1692,8.7713,75.3236,28.3236,9.2581
21.5,47,22834.6194,551.274,0.8795,36.7903,8.7587,75.1907,28.1907,9.7146
22,47,21835.4453,695.8554,0.8207,34.5631,8.7459,75.0671,28.0671,10.171
22.5,47,20846.9877,868.7449,0.766,32.4777,8.7328,74.9524,27.9524,10.6274
23,47,19873.0293,1074.162,0.7152,30.5245,8.7195,74.8465,27.8465,11.0836
23.5,47,18915.5894,1314.5728,0.6679,28.6948,8.706,74.749,27.749,11.5398
24,47,17977.3674,1593.1336,0.6238,26.9804,8.6922,74.6597,27.6597,11.9959
24.5,47,17060.7764,1912.7241,0.5828,25.3736,8.6782,74.5784,27.5784,12.4519
25,47,16164.0301,2272.0353,0.5446,23.8674,8.664,74.5048,27.5048,12.9078
25.5,47,15286.1727,2670.5994,0.5091,22.4553,8.6495,74.4387,27.4387,13.3637
26,47,14426.8902,3108.6009,0.4759,21.131,8.6348,74.3801,27.3801,13.8195
26.5,47,13588.9763,3589.3437,0.445,19.8889,8.6199,74.3287,27.3287,14.2752
27,47,12769.3139,4110.2317,0.4163,18.7235,8.6048,74.2844,27.2844,14.7308
27.5,47,11969.3569,4673.2518,0.3894,17.63,8.5895,74.2471,27.2471,15.1864
28,47,11188.5381,5278.3815,0.3644,16.6036,8.5739,74.2167,27.2167,15.6419
18,48,29571.5178,77.0144,1.3978,56.1093,8.9993,76.3373,28.3373,6.8241
18.5,48,28560.3699,109.0475,1.3022,52.6332,8.988,76.1405,28.1405,7.2822
19,48,27543.6802,150.6547,1.2135,49.3833,8.9765,75.9555,27.9555,7.7402
19.5,48,26525.2836,206.0541,1.1311,46.3441,8.9647,75.7817,27.7817,8.1981
20,48,25505.7106,276.1682,1.0545,43.5014,8.9527,75.6188,27.6188,8.6559
20.5,48,24487.8025,364.2389,0.9833,40.8419,8.9404,75.4662,27.4662,9.1137
21,48,23472.9929,472.1093,0.9172,38.3532,8.9278,75.3236,27.3236,9.5714
21.5,48,22463.0147,601.931,0.8557,36.0238,8.915,75.1907,27.1907,10.029
22,48,21461.326,757.5902,0.7985,33.8431,8.9019,75.0671,27.0671,10.4865
22.5,48,20471.7708,943.3687,0.7454,31.8011,8.8886,74.9524,26.9524,10.944
23,48,19498.0363,1163.401,0.6959,29.8886,8.875,74.8465,26.8465,11.4014
23.5,48,18542.0342,1420.0563,0.6498,28.097,8.8612,74.749,26.749,11.8587
24,48,17606.5568,1716.5945,0.607,26.4183,8.8472,74.6597,26.6597,12.316
24.5,48,16692.4726,2054.3623,0.5671,24.845,8.8329,74.5784,26.5784,12.7731
25,48,15798.5439,2432.6107,0.5299,23.3702,8.8184,74.5048,26.5048,13.2302
25.5,48,14922.4772,2849.5459,0.4953,21.9875,8.8037,74.4387,26.4387,13.6872
26,48,14067.1469,3308.5534,0.4631,20.6908,8.7887,74.3801,26.3801,14.1442
26.5,48,13231.8833,3809.4856,0.433,19.4745,8.7735,74.3287,26.3287,14.601
27,48,12415.7716,4351.9619,0.405,18.3334,8.7581,74.2844,26.2844,15.0578
27.5,48,11619.7137,4937.4302,0.3789,17.2627,8.7425,74.2471,26.2471,15.5145
28,48,10842.1892,5564.9283,0.3546,16.2577,8.7267,74.2167,26.2167,15.9712
18,49,29243.4964,86.4609,1.3609,54.9642,9.1587,76.3373,27.3373,7.125
18.5,49,28224.3166,121.5753,1.2678,51.559,9.1472,76.1405,27.1405,7.5842
19,49,27200.7714,167.7689,1.1814,48.3754,9.1355,75.9555,26.9555,8.0433
19.5,49,26175.3977,227.9706,1.1012,45.3983,9.1234,75.7817,26.7817,8.5023
20,49,25150.4706,304.8565,1.0266,42.6136,9.1111,75.6188,26.6188,8.9612
20.5,49,24127.3246,400.1709,0.9573,40.0084,9.0986,75.4662,26.4662,9.4201
21,49,23107.8922,516.2651,0.893,37.5704,9.0857,75.3236,26.3236,9.8789
21.5,49,22094.3092,655.7036,0.8331,35.2886,9.0726,75.1907,26.1907,10.3377
22,49,21090.9038,823.2526,0.7774,33.1524,9.0593,75.0671,26.0671,10.7963
22.5,49,20100.9174,1022.6013,0.7257,31.1521,9.0457,74.9524,25.9524,11.2549
23,49,19127.6144,1257.4722,0.6775,29.2786,9.0319,74.8465,25.8465,11.7134
23.5,49,18173.6828,1531.0213,0.6327,27.5236,9.0178,74.749,25.749,12.1719
24,49,17241.2869,1845.8916,0.5909,25.8791,9.0035,74.6597,25.6597,12.6302
24.5,49,16329.7132,2201.8591,0.5521,24.3379,8.989,74.5784,25.5784,13.0885
25,49,15438.0327,2598.4952,0.5159,22.8933,8.9742,74.5048,25.5048,13.5467
25.5,49,14564.6766,3034.7426,0.4822,21.5388,8.9592,74.4387,25.4387,14.0049
26,49,13713.3367,3514.8164,0.4508,20.2685,8.944,74.3801,25.3801,14.4629
26.5,49,12880.9432,4036.1817,0.4216,19.0771,8.9285,74.3287,25.3287,14.921
27,49,12068.4841,4600.3733,0.3943,17.9593,8.9128,74.2844,25.2844,15.3789
27.5,49,11275.8982,5207.8893,0.3689,16.9104,8.8969,74.2471,25.2471,15.8367
28,49,10501.8322,5857.9481,0.3452,15.9259,8.8809,74.2167,25.2167,16.2945
18,50,28916.3483,96.9196,1.3256,53.8649,9.3197,76.3373,26.3373,7.4205
18.5,50,27889.1625,135.1504,1.2349,50.5278,9.308,76.1405,26.1405,7.8808
19,50,26859.3056,186.4841,1.1508,47.4079,9.296,75.9555,25.9555,8.3409
19.5,50,25827.4392,251.9829,1.0726,44.4903,9.2837,75.7817,25.7817,8.8011
20,50,24796.9507,335.4442,1,41.7613,9.2711,75.6188,25.6188,9.2611
20.5,50,23769.1472,438.5942,0.9325,39.2082,9.2583,75.4662,25.4662,9.7211
21,50,22745.2836,563.1165,0.8698,36.819,9.2452,75.3236,25.3236,10.181
21.5,50,21728.9421,713.0312,0.8115,34.5828,9.2319,75.1907,25.1907,10.6408
22,50,20723.863,892.5269,0.7573,32.4894,9.2183,75.0671,25.0671,11.1006
22.5,50,19734.4448,1106.4602,0.7068,30.529,9.2044,74.9524,24.9524,11.5603
23,50,18762.4885,1357.1005,0.6599,28.693,9.1903,74.8465,24.8465,12.0199
23.5,50,17810.7537,1647.6865,0.6163,26.9731,9.176,74.749,24.749,12.4794
24,50,16881.2963,1980.7637,0.5756,25.3615,9.1614,74.6597,24.6597,12.9389
24.5,50,15972.4531,2355.1698,0.5378,23.8512,9.1466,74.5784,24.5784,13.3983
25,50,15082.3947,2769.5873,0.5025,22.4354,9.1315,74.5048,24.5048,13.8576
25.5,50,14212.8611,3226.2801,0.4697,21.108,9.1163,74.4387,24.4387,14.3169
26,50,13364.4471,3726.3782,0.4391,19.8631,9.1008,74.3801,24.3801,14.7761
26.5,50,12535.4634,4268.7398,0.4106,18.6955,9.085,74.3287,24.3287,15.2352
27,50,11727.0003,4855.0153,0.3841,17.6001,9.0691,74.2844,24.2844,15.6942
27.5,50,10937.7867,5484.5058,0.3593,16.5722,9.0529,74.2471,24.2471,16.1532
28,50,10167.4718,6157.4463,0.3362,15.6074,9.0365,74.2167,24.2167,16.6121
18,51,28589.6909,108.0079,1.2919,52.8087,9.4825,76.3373,25.3373,7.7108
18.5,51,27555.2414,150.1067,1.2036,49.5371,9.4706,76.1405,25.1405,8.1722
19,51,26518.9239,206.4412,1.1215,46.4784,9.4583,75.9555,24.9555,8.6334
19.5,51,25481.3771,278.0598,1.0454,43.618,9.4457,75.7817,24.7817,9.0946
20,51,24445.5473,368.3277,0.9746,40.9425,9.4329,75.6188,24.6188,9.5557
20.5,51,23412.9136,479.1526,0.9088,38.4394,9.4198,75.4662,24.4662,10.0168
21,51,22385.4588,612.9551,0.8477,36.0971,9.4065,75.3236,24.3236,10.4778
21.5,51,21366.856,773.8566,0.7909,33.9047,9.3929,75.1907,24.1907,10.9387
22,51,20361.3197,966.5296,0.738,31.8523,9.379,75.0671,24.0671,11.3995
22.5,51,19371.9811,1194.5737,0.6889,29.9304,9.3649,74.9524,23.9524,11.8603
23,51,18401.8387,1461.4665,0.6432,28.1304,9.3505,74.8465,23.8465,12.321
23.5,51,17453.0907,1769.896,0.6006,26.4442,9.3359,74.749,23.749,12.7816
24,51,16526.2133,2120.8393,0.561,24.8642,9.3211,74.6597,23.6597,13.2422
24.5,51,15620.2117,2513.8138,0.5241,23.3835,9.306,74.5784,23.5784,13.7026
25,51,14732.4183,2946.6759,0.4898,21.9955,9.2906,74.5048,23.5048,14.1631
25.5,51,13867.0556,3424.1834,0.4578,20.6941,9.2751,74.4387,23.4387,14.6234
26,51,13021.4443,3944.2051,0.428,19.4737,9.2593,74.3801,23.3801,15.0837
