time,signal
0.0,2.5813
0.01,2.1966
0.02,2.1265
0.03,0.9918
0.04,2.5054
0.05,1.2491
0.06,1.7201
0.07,2.2242
0.08,2.765
0.09,0.468
0.1,1.2578
0.11,1.5616
0.12,2.1913
0.13,1.4112
0.14,0.0942
0.15,0.3379
0.16,0.081
0.17,1.6821
0.18,3.3524
0.19,1.2799
0.2,1.1056
0.21,1.2865
0.22,1.8458
0.23,1.9375
0.24,0.8227
0.25,2.0355
0.26,1.544
0.27,2.1761
0.28,2.464
0.29,0.7716
0.3,2.0978
0.31,0.5214
0.32,0.5617
0.33,1.0138
0.34,1.0043
0.35,2.5402
0.36,1.7917
0.37,2.5811
0.38,0.215
0.39,1.2031
0.4,1.9915
0.41,2.2885
0.42,1.04
0.43,1.1369
0.44,1.5976
0.45,1.4976
0.46,2.904
0.47,2.0731
0.48,2.4973
0.49,2.2395
0.5,2.5961
0.51,1.7369
0.52,1.0941
0.53,1.1049
0.54,0.7131
0.55,0.9099
0.56,1.3835
0.57,1.2655
0.58,1.9462
0.59,2.1513
0.6,1.1864
0.61,2.1084
0.62,3.4186
0.63,3.1021
0.64,2.1598
0.65,2.666
0.66,2.6515
0.67,1.4114
0.68,3.0617
0.69,0.8142
0.7,0.4079
0.71,1.1348
0.72,1.5887
0.73,1.6777
0.74,2.2045
0.75,0.9388
0.76,2.7386
0.77,1.9281
0.78,3.1693
0.79,1.4992
0.8,1.6609
0.81,0.7374
0.82,1.1524
0.83,2.4286
0.84,1.7234
0.85,1.0762
0.86,1.021
0.87,1.5563
0.88,2.0434
0.89,2.1783
0.9,2.03
0.91,1.2421
0.92,0.4864
0.93,3.3911
0.94,2.0592
0.95,1.7924
0.96,1.4512
0.97,2.6226
0.98,2.3975
0.99,2.1352
1.0,1.4768
1.01,0.2704
1.02,2.178
1.03,-0.2898
1.04,2.7059
1.05,2.4115
1.06,1.5144
1.07,1.9696
1.08,1.5741
1.09,3.3204
1.1,0.2414
1.11,2.2771
1.12,2.6688
1.13,1.2338
1.14,2.0352
1.15,1.7173
1.16,3.2887
1.17,2.0644
1.18,1.5794
1.19,1.6272
1.2,2.5899
1.21,1.4153
1.22,1.4252
1.23,0.7375
1.24,3.2405
1.25,2.2216
1.26,1.3922
1.27,1.2489
1.28,1.7808
1.29,2.1888
1.3,1.5953
1.31,3.4444
1.32,1.287
1.33,0.8416
1.34,1.8776
1.35,1.7265
1.36,1.9872
1.37,1.2823
1.38,2.0213
1.39,3.229
1.4,3.1321
1.41,2.312
1.42,1.3847
1.43,2.5887
1.44,0.8043
1.45,3.2752
1.46,1.616
1.47,1.8957
1.48,2.6437
1.49,1.6472
1.5,2.0873
1.51,0.9354
1.52,1.9081
1.53,1.4341
1.54,1.4341
1.55,1.4367
1.56,2.746
1.57,1.114
1.58,3.016
1.59,3.5216
1.6,1.7713
1.61,3.02
1.62,3.2221
1.63,1.6555
1.64,2.7048
1.65,1.9774
1.66,1.1533
1.67,2.6852
1.68,1.3561
1.69,2.746
1.7,0.4166
1.71,2.307
1.72,1.9323
1.73,1.0643
1.74,1.8591
1.75,2.1553
1.76,1.917
1.77,0.7442
1.78,2.6131
1.79,2.1943
1.8,2.6574
1.81,1.5607
1.82,1.5263
1.83,3.8465
1.84,2.6946
1.85,2.0878
1.86,2.1748
1.87,2.2994
1.88,2.6627
1.89,1.972
1.9,2.0805
1.91,2.8214
1.92,0.5377
1.93,1.3663
1.94,2.3308
1.95,0.695
1.96,1.7154
1.97,1.9718
1.98,1.0166
1.99,1.5218
2.0,3.4811
2.01,1.5302
2.02,2.3147
2.03,2.2678
2.04,2.3409
2.05,2.7072
2.06,1.2773
2.07,2.354
2.08,3.0832
2.09,1.944
2.1,2.1829
2.11,3.8831
2.12,2.7646
2.13,3.2173
2.14,3.1485
2.15,2.2768
2.16,3.4414
2.17,3.3206
2.18,2.724
2.19,1.674
2.2,2.0428
2.21,3.5157
2.22,3.9609
2.23,1.5075
2.24,2.3806
2.25,0.3154
2.26,3.2885
2.27,2.6281
2.28,2.5618
2.29,1.937
2.3,2.0809
2.31,2.2179
2.32,2.5971
2.33,1.6208
2.34,2.2651
2.35,1.0484
2.36,0.7223
2.37,2.131
2.38,1.3093
2.39,2.7723
2.4,1.3886
2.41,2.2725
2.42,1.3983
2.43,3.0335
2.44,3.2326
2.45,1.5911
2.46,2.1613
2.47,1.3685
2.48,1.8875
2.49,2.2243
2.5,3.209
2.51,2.3243
2.52,2.5646
2.53,3.4821
2.54,0.9828
2.55,2.9474
2.56,2.2877
2.57,2.5731
2.58,2.9211
2.59,2.0095
2.6,3.1406
