CuPc_ref_cm-1,diagnostic,assignment,File1_obs_cm-1,File1_relI,File2_obs_cm-1,File2_relI
232,,C-C/ring,236.4,0.56,239.4,0.47
254,,ring,260.0,0.58,260.0,0.53
480,medium,macrocycle,484.3,0.33,487.1,0.35
593,medium,ring def,592.6,0.15,595.4,0.16
677,medium,macrocycle breathing,679.7,0.52,682.4,0.56
748,medium,Eg out-of-plane,746.5,0.63,749.2,0.62
773,,C-H,775.6,0.13,780.9,0.15
825,,C-H,,,822.9,0.09
950,,ring,951.4,0.2,951.4,0.24
1104,,C-H bend,,,,
1140,,C-H / pyrrole,1142.0,0.38,1142.0,0.36
1188,,C-H bend,1190.1,0.18,1192.5,0.24
1211,,C-N,,,1211.6,0.24
1302,,pyrrole,1303.2,0.18,1303.2,0.19
1337,medium,Ca-Cb pyrrole str,1337.9,0.61,1337.9,0.64
1404,,isoindole,,,,
1453,very strong,isoindole str (B1g),1446.8,0.23,1451.3,0.24
1526,very strong,Cb-Cb pyrrole str (A1g),1524.3,1.0,1526.5,1.0
